postal_code,street,house_numbers,city,area,neighborhood,municipality,province
7907ED,Carstenstraat,42 t/m 64,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EE,Lodderstraat,1 t/m 39,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EG,Lodderstraat,2 t/m 18,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EH,Pottingastraat,1 t/m 41,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EJ,Pottingastraat,2 t/m 50,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EK,Pottingastraat,52 t/m 102,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EL,Ebbingestraat,1 t/m 39,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EM,van der Wijckstraat,1 t/m 38,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907EN,Ebbingestraat,2 t/m 2,Hoogeveen,Wijk 50 Hoogeveen,Venesluis,Hoogeveen,Drenthe
7907GA,Alteveer,66 t/m 108,Hoogeveen,Wijk 62 Industrie- en verspreide gebieden,Verspreide huizen Alteveer,Hoogeveen,Drenthe
7907GB,Alteveer,110 t/m 124,Hoogeveen,Wijk 62 Industrie- en verspreide gebieden,Verspreide huizen Alteveer,Hoogeveen,Drenthe
7907GC,Alteveer,107 t/m 135,Hoogeveen,Wijk 62 Industrie- en verspreide gebieden,Verspreide huizen Alteveer,Hoogeveen,Drenthe
7907GE,het Oosterveld,1 t/m 11,Hoogeveen,Wijk 62 Industrie- en verspreide gebieden,Verspreide huizen Alteveer,Hoogeveen,Drenthe
7908AA,Mortonhof,56 t/m 74,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AB,de Weide,1 t/m 28,Hoogeveen,Wijk 51 De Weide,Steenbergerweiden,Hoogeveen,Drenthe
7908AC,Zuidwoldigerweg,5 t/m 71,Hoogeveen,Wijk 51 De Weide,Schutlanden-Oost,Hoogeveen,Drenthe
7908AD,Zuidwoldigerweg,2 t/m 42,Hoogeveen,Wijk 51 De Weide,Schoonvelde-Oost,Hoogeveen,Drenthe
7908AE,van Swietenhof,1 t/m 31,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AG,van Swietenhof,33 t/m 61,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AH,Swammerdamstraat,1 t/m 43,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AJ,Swammerdamstraat,49 t/m 73,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AK,Swammerdamstraat,2 t/m 34,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AL,Salkhof,1 t/m 21,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AM,Salkhof,23 t/m 53,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AN,Mortonhof,1 t/m 29,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AP,Mortonhof,2 t/m 54,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AR,Listerhof,1 t/m 21,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AS,Listerhof,23 t/m 57,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AT,Mendelhof,2 t/m 60,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AV,Mantinghstraat,1 t/m 53,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AW,Mantinghstraat,55 t/m 103,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AX,Mantinghstraat,2 t/m 52,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908AZ,Mantinghstraat,54 t/m 96,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BA,Landsteinerhof,1 t/m 15,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BB,Landsteinerhof,2 t/m 36,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
7908BC,Landsteinerhof,38 t/m 68,Hoogeveen,Wijk 51 De Weide,Schoonvelde-West,Hoogeveen,Drenthe
